"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
psrs,Yes,117,2,10000000,1.000000e+07,0.375125,0.049028,0.275622,0.436012
psrs,Yes,118,2,10000000,1.000000e+07,0.411149,0.075408,0.310295,0.588713
psrs,Yes,119,2,10000000,1.000000e+07,0.395870,0.054349,0.305552,0.487126
psrs,Yes,120,2,10000000,1.000000e+07,0.388411,0.064373,0.323994,0.507433
psrs,Yes,121,2,10000000,1.000000e+07,0.387888,0.041158,0.335980,0.450155
psrs,Yes,122,2,10000000,1.000000e+07,0.398781,0.052144,0.306545,0.499927
psrs,Yes,123,2,10000000,1.000000e+07,0.379549,0.032657,0.345248,0.441394
psrs,Yes,124,2,10000000,1.000000e+07,0.426827,0.067781,0.349433,0.578667
psrs,Yes,125,2,10000000,1.000000e+07,0.397790,0.037538,0.345648,0.465883
psrs,Yes,126,2,10000000,1.000000e+07,0.410416,0.077762,0.328315,0.621081
psrs,Yes,127,2,10000000,1.000000e+07,0.390814,0.063191,0.291836,0.502455
psrs,Yes,128,2,10000000,1.000000e+07,0.653249,0.358097,0.385708,1.625341
